;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames PUTE;Le diable est mort PUTE;;
;;;;;;;;;DEPOT SURNOM : >;ames;diable;;
;;;;;;;;;DEPOT TYPE : >;1;3;;
;;;;;;;;;DEPOT QUANTITEE : >;2660;1840;;
;;;;;;;;;DEPOT VOLUME : >;99.0;999.0;;
;;;;;;;;;DEPOT CARTONS : >;2;5;;
;;;;;;;;;DEPOT REMARQUE : >;ha oui;ha non ;;
;;;;;;;;;DEPOT POID CARTONS : >;12.0;11.0;;
;;;;;;;;;DEPOT NB PAQUET : >;;;;
;;;;;;;;;DEPOT PRIX : >;;;;
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;;;
Ok;inconnu;;ASSOCIATION 59 RUE DE RIVOLI;59 Rue de Rivoli;75001;PARIS;;;;;;;
Ok;inconnu;;ECOLE DESSIN TECH /ARTISTIQUE SORNAS;108 Rue Saint-Honoré;75001;PARIS;;;;;;;
non localisé;inconnu;;ECOLE DU LOUVRE;;75001;PARIS;;;;;;;
Ok;inconnu;;ESAD ;;75001;PARIS;;;;;;;
non localisé;inconnu;;FORUM DES IMAGES;;75001;PARIS;;;;;;;
Ok;inconnu;;IESA;5 Avenue de l'Opéra;75001;PARIS;;;;;;;
